package,version,compatible_licenses
py7zr,0.11.1,"['MIT', 'BSD-3-Clause', 'Apache-2.0', 'GPL-3.0-only', 'LGPL-3.0-only', 'MPL-2.0', 'ISC', 'LGPL-3.0-or-later', 'GPL-3.0-or-later', 'Unlicense']"
py7zr,0.18.12,"['MIT', 'BSD-3-Clause', 'Apache-2.0', 'GPL-3.0-only', 'LGPL-3.0-only', 'MPL-2.0', 'ISC', 'LGPL-3.0-or-later', 'GPL-3.0-or-later', 'Unlicense']"
pydantic-factories,0.7.0,"['AGPL-3.0-only', 'AGPL-3.0-or-later']"
pyiotools,0.3.15,"['GPL-3.0-only', 'GPL-3.0-or-later']"
pyiotools,0.3.18,[]
pyiotools,0.3.2,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
pylint-django,2.0.13,[]
pylint-django,2.0.5,[]
pylint-django,2.2.0,[]
pylint-gitlab,0.1.0,"['GPL-3.0-only', 'GPL-3.0-or-later']"
pylint-gitlab,1.0.0,"['GPL-3.0-only', 'GPL-3.0-or-later']"
pylint-gitlab,1.1.0,"['GPL-3.0-only', 'GPL-3.0-or-later']"
pylint-plugin-utils,0.3,"['GPL-3.0-only', 'GPL-3.0-or-later']"
pylint-plugin-utils,0.6,"['GPL-3.0-only', 'GPL-3.0-or-later']"
pylint-pytest,0.2.0,"['GPL-3.0-only', 'GPL-3.0-or-later']"
pylint-pytest,1.1.1,"['GPL-3.0-only', 'GPL-2.0-only', 'GPL-3.0-or-later', 'GPL-2.0-or-later']"
pylint-quotes,0.1.7,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
pylint-quotes,0.2.0,"['GPL-3.0-only', 'GPL-3.0-or-later']"
pylint-quotes,0.2.1,"['GPL-3.0-only', 'GPL-3.0-or-later']"
pylint-quotes,0.2.3,"['GPL-3.0-only', 'GPL-2.0-only', 'GPL-3.0-or-later', 'GPL-2.0-or-later']"
pymc3,3.10.0,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
pymc3,3.8,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
pymiscutils,0.3.1,"['GPL-3.0-only', 'GPL-3.0-or-later']"
pymiscutils,0.3.13,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
pymiscutils,0.3.14,[]
pyphonetics,0.5.3,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
pysubtypes,0.3.10,[]
pysubtypes,0.3.18,[]
pysubtypes,0.3.3,"['GPL-3.0-only', 'GPL-3.0-or-later']"
pytest-pylint,0.13.0,"['GPL-3.0-only', 'GPL-3.0-or-later']"
pytest-pylint,0.14.1,"['GPL-3.0-only', 'GPL-3.0-or-later']"
pytest-pylint,0.18.0,"['GPL-3.0-only', 'GPL-3.0-or-later']"
pytest-pylint,0.19.0,"['GPL-3.0-only', 'GPL-2.0-only', 'GPL-3.0-or-later', 'GPL-2.0-or-later']"
pytest-selenium,1.7.0,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
python-debian,0.1.37,"['MIT', 'BSD-3-Clause', 'Apache-2.0', 'GPL-3.0-only', 'LGPL-3.0-only', 'MPL-2.0', 'ISC', 'LGPL-3.0-or-later', 'GPL-3.0-or-later', 'LGPL-2.1-or-later']"
python-debian,0.1.42,"['MIT', 'BSD-3-Clause', 'Apache-2.0', 'GPL-3.0-only', 'LGPL-3.0-only', 'MPL-2.0', 'ISC', 'LGPL-3.0-or-later', 'GPL-3.0-or-later', 'LGPL-2.1-or-later']"
python-debian,0.1.44,"['MIT', 'BSD-3-Clause', 'Apache-2.0', 'GPL-3.0-only', 'LGPL-3.0-only', 'MPL-2.0', 'ISC', 'LGPL-3.0-or-later', 'GPL-3.0-or-later', 'LGPL-2.1-or-later']"
quantulum3,0.6.4,[]
ropwr,0.1.0,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
ropwr,0.2.0,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
ropwr,0.4.0,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
rpy2,3.5.4,"['MIT', 'BSD-3-Clause', 'Apache-2.0', 'GPL-3.0-only', 'LGPL-3.0-only', 'MPL-2.0', 'ISC', 'LGPL-3.0-or-later', 'GPL-3.0-or-later', 'Unlicense']"
schedula,0.1.16,"['MIT', 'BSD-3-Clause', 'Apache-2.0', 'GPL-3.0-only', 'LGPL-3.0-only', 'MPL-2.0', 'ISC', 'LGPL-3.0-or-later', 'GPL-3.0-or-later', 'Unlicense']"
schwifty,2020.11.0,"['GPL-2.0-only', 'GPL-2.0-or-later']"
schwifty,2021.10.2,"['GPL-2.0-only', 'GPL-2.0-or-later']"
schwifty,2022.7.1,"['GPL-2.0-only', 'GPL-2.0-or-later']"
scmrepo,0.0.7,[]
scmrepo,0.1.3,[]
scp,0.14.2,"['MIT', 'BSD-3-Clause', 'Apache-2.0', 'GPL-3.0-only', 'LGPL-3.0-only', 'MPL-2.0', 'ISC', 'LGPL-3.0-or-later', 'GPL-3.0-or-later', 'Unlicense']"
scp,0.14.4,"['MIT', 'BSD-3-Clause', 'Apache-2.0', 'GPL-3.0-only', 'LGPL-3.0-only', 'MPL-2.0', 'ISC', 'LGPL-3.0-or-later', 'GPL-3.0-or-later', 'Unlicense']"
seleniumbase,1.1.13,"['GPL-3.0-only', 'GPL-3.0-or-later']"
semgrep,0.121.2,"['MIT', 'BSD-3-Clause', 'Apache-2.0', 'GPL-3.0-only', 'LGPL-3.0-only', 'MPL-2.0', 'ISC', 'LGPL-3.0-or-later', 'GPL-3.0-or-later', 'Unlicense']"
semgrep,0.35.0,"['MIT', 'BSD-3-Clause', 'Apache-2.0', 'GPL-3.0-only', 'LGPL-3.0-only', 'MPL-2.0', 'ISC', 'LGPL-3.0-or-later', 'GPL-3.0-or-later', 'Unlicense']"
semgrep,0.77.0,"['MIT', 'BSD-3-Clause', 'Apache-2.0', 'GPL-3.0-only', 'LGPL-3.0-only', 'MPL-2.0', 'ISC', 'LGPL-3.0-or-later', 'GPL-3.0-or-later', 'Unlicense']"
sphinx-autoapi,0.3.0,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
sphinx-autoapi,0.5.0,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
sphinx-autoapi,0.6.2,"['GPL-3.0-only', 'GPL-3.0-or-later']"
sphinx-autoapi,1.2.1,"['GPL-3.0-only', 'GPL-3.0-or-later']"
sphinx-autoapi,1.5.1,"['GPL-3.0-only', 'GPL-3.0-or-later']"
sphinx-autoapi,1.8.4,"['GPL-3.0-only', 'GPL-3.0-or-later']"
sphinx-autoapi,2.0.0,"['GPL-3.0-only', 'GPL-3.0-or-later']"
sphinx-toolbox,1.8.3,[]
tavern,0.22.1,['EPL-2.0']
tavern,1.0.0a2,['EPL-2.0']
tavern,1.12.1,['EPL-2.0']
tavern,2.0.0a17,['EPL-2.0']
tavern,2.0.0a7,['EPL-2.0']
