package,version,date,license,which_tree,dep_name,dep_version,dep_license,is_direct,in_degree,out_degree,layer
pysubtypes,0.3.18,2021-02-01 11:58:56.495000+00:00,MIT,tree_created,fuzzywuzzy,0.18.0,GPL-2.0-only,True,1,0,1
pysubtypes,0.3.3,2019-12-09 01:55:26.529000+00:00,MIT,tree_created,fuzzywuzzy,0.17.0,GPL-3.0-only,True,1,0,1
pytest-pylint,0.13.0,2018-11-26 02:36:49.286000+00:00,MIT,tree_created,pylint,2.2.0,GPL-3.0-only,True,1,3,1
pytest-pylint,0.14.1,2019-07-16 20:30:43.360000+00:00,MIT,tree_created,pylint,2.3.0,GPL-3.0-only,True,1,3,1
pytest-pylint,0.18.0,2020-11-09 06:56:46.799000+00:00,MIT,tree_created,pylint,2.6.0,GPL-3.0-only,True,1,4,1
pytest-pylint,0.19.0,2022-09-10 21:47:07.423000+00:00,MIT,tree_created,pylint,2.15.2,GPL-2.0-or-later,True,1,8,1
pytest-selenium,1.7.0,2016-11-30 08:08:17.043000+00:00,MPL-2.0,tree_created,ansi2html,1.1.1,GPL-3.0-or-later,False,1,0,2
python-debian,0.1.37,2020-04-11 08:03:40.662000+00:00,GPL-2.0-or-later,tree_created,chardet,3.0.4,LGPL-3.0-only,True,1,0,1
python-debian,0.1.42,2021-10-18 06:44:38.376000+00:00,GPL-2.0-or-later,tree_created,chardet,4.0.0,LGPL-3.0-only,True,1,0,1
python-debian,0.1.44,2022-06-15 05:00:33.234000+00:00,GPL-2.0-or-later,tree_created,chardet,4.0.0,LGPL-3.0-only,True,1,0,1
quantulum3,0.6.4,2018-10-08 20:21:50.979000+00:00,MIT,tree_created,inflect,1.0.1,AGPL-3.0-only,True,1,0,1
ropwr,0.1.0,2020-12-01 20:26:13.154000+00:00,Apache-2.0,tree_created,ecos,2.0.7.post1,GPL-3.0-only,False,1,2,2
ropwr,0.2.0,2021-04-25 05:55:54.370000+00:00,Apache-2.0,tree_created,ecos,2.0.7.post1,GPL-3.0-only,False,1,2,2
