package,version,date,license,license_type
gdbgui,0.7.3.1,2017-02-03 05:54:19.618000+00:00,CC-BY-NC-3.0,Unknown
gdbgui,0.7.5.1,2017-03-20 17:02:49.383000+00:00,GPL-3.0-only,Strong Copyleft
aws-secretsmanager-caching,1.1.1.2,2019-05-06 18:01:09.168000+00:00,Apache-2.0,Permissive
utils,0.9.0,2017-07-11 05:16:17.042000+00:00,LGPL-3.0-only,Weak Copyleft
utils,1.0.0,2019-12-31 21:07:28.250000+00:00,LGPL-3.0-or-later,Weak Copyleft
marshmallow-jsonapi,0.1.0,2015-09-12 22:34:01.496000+00:00,MIT,Permissive
time-machine,1.0.0b1,2020-05-04 10:59:20.602000+00:00,ISC,Permissive
time-machine,1.3.0,2020-12-12 21:43:37.146000+00:00,MIT,Permissive
installer,0.1.0,2018-09-21 05:00:27.704000+00:00,ISC,Permissive
installer,0.2.0.dev0,2021-05-03 13:10:36.259000+00:00,MIT,Permissive
mss,0.0.2,2013-10-21 18:15:59.179000+00:00,Zlib,Permissive
mss,0.0.3,2013-10-30 22:33:20.323000+00:00,zlib-acknowledgement,Unknown
mss,2.0.0,2016-06-04 13:14:14.772000+00:00,Zlib,Permissive
mss,2.0.18,2016-12-03 10:11:45.313000+00:00,MIT,Permissive
flake8-logging-format,0.7.4,2022-08-08 12:12:05.782000+00:00,Apache-2.0,Permissive
robotframework-databaselibrary,0.1,2010-11-28 16:42:56.175000+00:00,Apache-2.0,Permissive
escapism,0.0.1,2015-07-17 21:55:32.987000+00:00,BSD-3-Clause,Permissive
escapism,1.0.0,2017-10-12 16:22:57.417000+00:00,MIT,Permissive
httpagentparser,0.8.3,2011-03-11 11:01:09.034000+00:00,MIT,Permissive
pip-api,0.0.5,2019-02-21 22:46:19.985000+00:00,Apache-2.0,Permissive
tabulator,0.3.3,2016-02-17 22:27:27.302000+00:00,MIT,Permissive
docxcompose,1.0.0a1,2017-09-13 15:27:02.993000+00:00,GPL-2.0-only,Strong Copyleft
docxcompose,1.0.1,2019-07-25 12:41:53.351000+00:00,MIT,Permissive
apache-airflow-providers-odbc,1.0.0b1,2020-11-09 22:45:14.996000+00:00,Apache-2.0,Permissive
m2crypto,0.15,2006-04-06 01:35:38+00:00,BSD-3-Clause,Permissive
m2crypto,0.22.3,2014-01-22 19:39:55.432000+00:00,MIT,Permissive
m2crypto,0.22.4,2015-10-13 14:21:20.246000+00:00,BSD-3-Clause,Permissive
m2crypto,0.27.0,2017-10-05 20:59:35.614000+00:00,MIT,Permissive
databases,0.0.1,2019-02-01 10:45:06.971000+00:00,BSD-3-Clause,Permissive
fpdf2,2.0.0,2017-05-04 06:46:54.276000+00:00,LGPL-3.0-or-later,Weak Copyleft
intuit-oauth,1.1.1,2018-12-14 19:59:30.020000+00:00,Apache-2.0,Permissive
pytest-factoryboy,1.0.0,2015-04-09 10:00:19.099000+00:00,MIT,Permissive
pypdf3,0.0.1,2018-08-09 14:01:57.863000+00:00,BSD-3-Clause,Permissive
apprise,0.0.1,2017-11-26 05:11:34.766000+00:00,GPL-3.0-only,Strong Copyleft
apprise,0.7.3,2019-02-16 21:10:53.341000+00:00,MIT,Permissive
gdal,1.5.0,2007-12-27 03:15:26+00:00,MIT,Permissive
msoffcrypto-tool,4.1.3,2018-05-13 06:41:27.250000+00:00,MIT,Permissive
deprecat,1.0.0,2021-11-01 19:25:06.271000+00:00,MIT,Permissive
pytest-nunit,0.0.1,2019-07-07 23:18:26.372000+00:00,MIT,Permissive
pytest-mypy,0.1.0,2016-09-29 14:46:21.061000+00:00,MIT,Permissive
mgzip,0.1.0,2019-07-21 16:15:06.015000+00:00,MIT,Permissive
sodapy,0.1.2,2015-02-23 23:20:20.606000+00:00,Apache-2.0,Permissive
sodapy,1.0.0,2015-12-16 18:33:14.729000+00:00,MIT,Permissive
stringdist,1.0.6,2017-05-11 07:37:05.689000+00:00,MIT,Permissive
flask-restplus,0.1,2014-08-17 19:34:08.507000+00:00,AGPL-3.0-or-later,Strong Copyleft
flask-restplus,0.2,2014-08-26 06:15:04.513000+00:00,MIT,Permissive
flask-restplus,0.11.0,2018-05-16 15:22:55.773000+00:00,BSD-3-Clause,Permissive
mkdocstrings,0.1.0,2019-12-12 22:16:17.098000+00:00,ISC,Permissive
xattr,0.2,2005-12-08 22:12:30+00:00,MIT,Permissive
python-levenshtein-wheels,0.13.0,2019-01-28 00:04:39.970000+00:00,GPL-3.0-only,Strong Copyleft
duckdb-engine,0.1.0,2020-09-29 13:24:33.934000+00:00,MIT,Permissive
tableschema,1.0.0a3,2017-04-05 20:19:51.430000+00:00,MIT,Permissive
nox-poetry,0.1.0,2020-05-21 04:17:47.572000+00:00,MIT,Permissive
nptyping,0.3.0,2019-09-11 19:30:55.117000+00:00,MIT,Permissive
apiclient,1.0,2011-10-04 03:13:49.431000+00:00,MIT,Permissive
sphinxcontrib-plantuml,0.1,2011-03-26 14:23:08.835000+00:00,BSD-3-Clause,Permissive
awslambdaric,1.0.0,2020-12-01 18:15:04.037000+00:00,Apache-2.0,Permissive
routes,1.5,2006-09-20 06:05:42+00:00,BSD-3-Clause,Permissive
routes,2.0,2013-11-18 00:47:34.171000+00:00,MIT,Permissive
jsonargparse,2.0.0,2019-08-26 16:36:38.198000+00:00,MIT,Permissive
opentelemetry-instrumentation-redis,0.12b0,2020-08-14 23:38:14.760000+00:00,Apache-2.0,Permissive
property-cached,1.6.0,2019-07-22 09:25:19.646000+00:00,BSD-3-Clause,Permissive
html-testrunner,1.0.2,2017-01-29 16:30:30.204000+00:00,MIT,Permissive
mypy-boto3-sts,0.1.6,2019-11-09 01:51:04.638000+00:00,MIT,Permissive
pyactiveresource,0.1,2008-03-20 21:06:34+00:00,MIT,Permissive
markdownify,0.2.0,2013-07-31 21:12:02.813000+00:00,BSD-3-Clause,Permissive
markdownify,0.5.1,2020-08-11 07:52:44.507000+00:00,MIT,Permissive
rouge-score,0.0.1,2019-10-16 00:57:47.213000+00:00,Apache-2.0,Permissive
braceexpand,0.1,2015-01-06 12:18:11.324000+00:00,MIT,Permissive
exifread,1.3.0,2013-07-27 10:11:25.873000+00:00,BSD-3-Clause,Permissive
pyproject-flake8,0.0.1a2,2021-04-07 08:40:15.109000+00:00,Unlicense,Permissive
proxy-protocol,0.1.0a0,2020-05-14 12:45:26.058000+00:00,MIT,Permissive
pycalverter,1.5,2008-08-16 17:32:54+00:00,GPL-2.0-only,Strong Copyleft
envs,0.1.2,2016-06-30 19:55:17.798000+00:00,GPL-3.0-only,Strong Copyleft
envs,1.4,2021-12-09 22:16:51.127000+00:00,Apache-2.0,Permissive
check-manifest,0.7,2013-03-05 16:45:21.274000+00:00,GPL-2.0-or-later,Strong Copyleft
check-manifest,0.14,2013-08-29 06:24:12.807000+00:00,MIT,Permissive
gviz-api,1.9.0,2017-06-07 04:55:47.485000+00:00,Apache-2.0,Permissive
nmslib,2.0.4,2019-11-05 10:05:46.565000+00:00,Apache-2.0,Permissive
gluestick,1.0.0,2020-07-27 21:29:41.287000+00:00,MIT,Permissive
gluestick,2.0.0,2021-04-06 20:40:42.991000+00:00,GPL-3.0-or-later,Strong Copyleft
s2sphere,0.1.3,2016-04-27 03:41:28.281000+00:00,MIT,Permissive
iso-639,0.4.2,2015-07-03 17:00:07.906000+00:00,AGPL-3.0-only,Strong Copyleft
apache-airflow-providers-airbyte,1.0.0rc1,2021-04-06 23:56:12.803000+00:00,Apache-2.0,Permissive
sqlalchemy-mixins,0.1.3,2017-03-14 10:27:24.418000+00:00,MIT,Permissive
pysolr,1.0,2009-02-05 18:08:30+00:00,BSD-3-Clause,Permissive
apache-airflow-providers-celery,1.0.0b1,2020-11-09 22:44:02.653000+00:00,Apache-2.0,Permissive
progressbar,2.2,2006-05-07 05:39:34+00:00,LGPL-3.0-only,Weak Copyleft
progressbar,2.3,2015-02-20 23:23:12.955000+00:00,LGPL-2.1-or-later,Weak Copyleft
sqlalchemy-migrate,0.3.0,2008-01-20 21:03:07+00:00,MIT,Permissive
sqlalchemy-migrate,0.8.2,2013-11-15 18:37:36.990000+00:00,Apache-2.0,Permissive
recordclass,0.3,2015-03-27 19:37:49.260000+00:00,MIT,Permissive
pgi,0.0.4,2013-02-04 08:59:58.656000+00:00,LGPL-2.1-or-later,Weak Copyleft
pygraphviz,0.34,2007-04-12 03:43:00+00:00,BSD-3-Clause,Permissive
haralyzer,1.4.2,2015-07-19 21:04:15.800000+00:00,MIT,Permissive
dlint,0.5.0,2019-07-17 11:40:43.218000+00:00,BSD-3-Clause,Permissive
django-prometheus,0.0.2,2015-04-05 09:20:37.114000+00:00,Apache-2.0,Permissive
polyline,1.1,2014-10-12 08:58:03.912000+00:00,MIT,Permissive
mysql-python,1.2.3b1,2009-02-06 01:14:21+00:00,GPL-3.0-only,Strong Copyleft
sqlfluff-templater-dbt,0.7.0a2,2021-10-10 09:45:35.401000+00:00,MIT,Permissive
mbed-os-tools,0.0.1,2019-01-16 19:24:30.657000+00:00,Apache-2.0,Permissive
pyfcm,0.0.1,2016-06-05 22:48:09.130000+00:00,MIT,Permissive
ptvsd,2.0.0,2013-10-17 02:16:55.324000+00:00,Apache-2.0,Permissive
ptvsd,4.0.0a1,2018-03-08 19:00:43.079000+00:00,MIT,Permissive
adtk,0.3.0,2019-09-27 00:28:22.080000+00:00,MPL-2.0,Weak Copyleft
pipelinewise-singer-python,1.1.0,2020-02-17 12:42:40.594000+00:00,Apache-2.0,Permissive
pyspark-dist-explore,0.1.2,2017-07-17 20:08:36.471000+00:00,MIT,Permissive
django-log-request-id,0.0.1,2013-04-14 19:54:33.132000+00:00,BSD-3-Clause,Permissive
types-futures,0.1.4,2021-06-17 15:00:45.778000+00:00,Apache-2.0,Permissive
json-tricks,1.0,2015-11-07 02:10:19.711000+00:00,BSD-3-Clause,Permissive
libhoney,1.0.2,2017-01-26 01:47:46.830000+00:00,Apache-2.0,Permissive
tempita,0.1,2007-07-24 01:18:45+00:00,MIT,Permissive
docx2txt,0.7,2017-11-25 19:55:05.599000+00:00,MIT,Permissive
django-axes,0.1.0-pre,2008-11-05 17:15:55+00:00,MIT,Permissive
chiavdf,0.2b1,2020-04-01 06:53:24.727000+00:00,Apache-2.0,Permissive
keyvaultlib,1.0.0,2018-08-17 16:11:45.997000+00:00,MIT,Permissive
snowflake,0.0.2,2012-11-30 20:07:00.400000+00:00,BSD-3-Clause,Permissive
pyglet,1.1.4,2010-01-07 03:50:55.123000+00:00,BSD-3-Clause,Permissive
clearml-agent,0.0.0a0,2020-11-05 18:32:08.155000+00:00,Apache-2.0,Permissive
apache-airflow-providers-redis,1.0.0b1,2020-11-09 22:45:42.908000+00:00,Apache-2.0,Permissive
webassets,0.5,2011-03-30 05:45:40.202000+00:00,BSD-3-Clause,Permissive
pyzipcode,0.2,2010-08-30 16:05:38.856000+00:00,GPL-3.0-only,Strong Copyleft
pyzipcode,2.0.2,2021-02-28 14:20:14.896000+00:00,MIT,Permissive
asgi-lifespan,0.1.0,2019-09-28 18:35:08.340000+00:00,MIT,Permissive
suds,1.0.0,2021-12-05 22:40:33.075000+00:00,LGPL-3.0-only,Weak Copyleft
aiopg,0.1.0,2014-04-06 17:04:47.319000+00:00,BSD-3-Clause,Permissive
freeza-offset,1.0.1,2020-07-08 15:50:52.523000+00:00,MIT,Permissive
kwargs-only,1.0.0,2017-06-18 14:06:46.601000+00:00,ISC,Permissive
tensorboard-plugin-profile,2.2.0a1,2020-02-21 01:28:22.808000+00:00,Apache-2.0,Permissive
bashlex,0.1,2014-09-25 01:46:13.184000+00:00,GPL-3.0-or-later,Strong Copyleft
python-quickbooks,0.1.0,2015-07-12 16:57:33.432000+00:00,MIT,Permissive
grapheme,0.1.0.dev0,2017-07-25 21:13:22.298000+00:00,MIT,Permissive
mbed-ls,0.1.17,2015-09-07 08:50:27.707000+00:00,Apache-2.0,Permissive
pyicu,1.9.6,2017-04-10 20:27:06.826000+00:00,MIT,Permissive
jstyleson,0.0.1,2016-06-20 16:18:16.878000+00:00,MIT,Permissive
